d182: PF08983 (DUF1856)
d183: PF05984 (Cytomega_UL20A)
d184: PF12522 (UL73_N)
d185: PF17494 (DUF5429)
d186: PF12154 (HCMVantigenic_N)
d187: PF02957 (TT_ORF2)
d188: PF12435 (DUF3678)
d189: PF11088 (RL11D)
d190: PF00008 (EGF)
d191: PF02440 (Adeno_E3_CR1)
d192: PF00111 (Fer2)
d193: PF00747 (Viral_DNA_bp)
d194: PF12721 (RHIM)
d195: PF12216 (m04gp34like)
d196: PF05906 (DUF865)
d197: PF05467 (Herpes_U47)
d198: PF03753 (HHV6-IE)
d199: PF02867 (Ribonuc_red_lgC)
d200: PF08724 (Rep_N)
d201: PF17465 (U83)
d202: PF17205 (PSI_integrin)
d203: PF00519 (PPV_E1_C)
d204: PF16086 (DUF4816)
d205: PF03162 (Y_phosphatase2)
d206: PF07679 (I-set)
d207: PF02489 (Herpes_glycop_H)
d208: PF01163 (RIO1)
d209: PF02500 (DNA_pack_N)
d210: PF06072 (Herpes_US9)
d211: PF02282 (Herpes_UL42)
d212: PF03585 (Herpes_ICP4_C)
d213: PF13639 (zf-RING_2)
d214: PF02479 (Herpes_IE68)
d215: PF00097 (zf-C3HC4)
d216: PF02476 (US2)
d217: PF04496 (Herpes_UL35)
d218: PF04537 (Herpes_UL55)
d219: PF13923 (zf-C3HC4_2)
d220: PF03324 (Herpes_HEPA)
d221: PF04541 (Herpes_U34)
d222: PF05072 (Herpes_UL43)
d223: PF07013 (DUF1314)
d224: PF11590 (DNAPolymera_Pol)
d225: PF12524 (GlyL_C)
d226: PF03554 (Herpes_UL73)
d227: PF03044 (Herpes_UL16)
d228: PF03327 (Herpes_VP19C)
d229: PF07153 (Marek_SORF3)
d230: PF00716 (Peptidase_S21)
d231: PF05955 (Herpes_gp2)
d232: PF07420 (DUF1509)
d233: PF13920 (zf-C3HC4_3)
d234: PF12149 (HSV_VP16_C)
d235: PF13445 (zf-RING_UBOX)
d236: PF04843 (Herpes_teg_N)
d237: PF12874 (zf-met)
d238: PF00151 (Lipase)
d239: PF04846 (Herpes_pp38)
d240: PF03581 (Herpes_UL33)
d241: PF14531 (Kinase-like)
d242: PF00170 (bZIP_1)
d243: PF03131 (bZIP_Maf)
d244: PF17502 (DUF5434)
d245: PF06307 (Herpes_IR6)
d246: PF17503 (DUF5435)
d247: PF12815 (CTD)
d248: PF00270 (DEAD)
d249: PF12678 (zf-rbx1)
d250: PF11278 (DUF3079)
d251: PF10488 (PP1c_bdg)
d252: PF03229 (Alpha_GJ)
d253: PF03122 (Herpes_MCP)
d254: PF04534 (Herpes_UL56)
d255: PF05363 (Herpes_US12)
d256: PF16852 (HHV-1_VABD)
d257: PF04886 (PT)
d258: PF13488 (Gly-zipper_Omp)
d259: PF00132 (Hexapep)
