CaHV2	Aor
PsHV1	Aor
AnHV1	Ana
AtHV1	Ate
BoHV1	Bta
BoHV5	Bta
BoHV1.1	Bta
BoHV1.2	Bta
BuHV1	Bbu
CaHV1	Clu
CvHV3	Cer
CelaHV1	Cer
ChHV5	Cmy
CmydHV	Cmy
CeHV2	Cae
CoHV1	Cli
DleuHV1	Dle
EHV4	Eca
EHV1	Eca
EHV8	Eca
EHV3	Eca
CeHV9	Epa
FaHV1	Fme
FeHV1	Fca
GaHV1	Gga
GaHV3	Gga
GaHV2	Gga
HHV1	Hsa
HHV2	Hsa
HHV3	Hsa
CeHV1	Mmt
MaHV1	Mac
MeHV1	Mga
LHV4	Ocu
ChHV1	Ptr
PaHV2	Pap
CeHV16	Pap
PsHV5	Pkr
PlylHV	Pte
FBaHV1	Pte
CelaHV2	Rta
SaHV1	Sai
SpHV1	Sph
SuHV1	Sus
TeHV3	The
